observation_date,pop
2000-01-01,3052.379
2001-01-01,3094.380
2002-01-01,3121.895
2003-01-01,3138.938
2004-01-01,3163.703
2005-01-01,3202.388
2006-01-01,3259.945
2007-01-01,3307.360
2008-01-01,3356.637
2009-01-01,3407.848
2010-01-01,3449.355
2011-01-01,3504.376
2012-01-01,3559.719
2013-01-01,3613.596
2014-01-01,3676.765
2015-01-01,3741.711
2016-01-01,3819.753
2017-01-01,3888.807
2018-01-01,3937.546
2019-01-01,3977.785
2020-01-01,4027.804
2021-01-01,4016.479
2022-01-01,4032.242
2023-01-01,4044.837
